Course ID,Program Type,Course Name,Partner Institution,Campus / Location,Duration,Mode,Price (INR),Seats,Who Can Join,Skills Covered,Projects,Certification,Source URL
INT-SI-IITP,Summer Internship,AI & Robotics Mastery Program – IIT Patna Edition,IIT Patna,Online + Offline (PHN CoE Labs),30 Days,"Online + Offline (Blended) — 1 week online, 3 Weeks offline lab","₹5,999",Exclusive 30 seats,,,,IIT Patna Internship Certificate + PHN Technology Letter of Recommendation (LOR),Coming soon
INT-SI-IITG,Summer Internship,AI & Robotics Mastery Program – IIT Guwahati Edition,IIT Guwahati,Online + Offline (PHN CoE Labs),30 Days,"Online + Offline (Blended) — 1 week online, 3 Weeks offline lab","₹5,999",Exclusive 30 seats,,,,IIT Guwahati Internship Certificate + PHN Technology Letter of Recommendation (LOR),Coming soon
INT-SI-NITD,Summer Internship,AI & Robotics Mastery Program – NIT Delhi Edition,NIT Delhi,Online + Offline (PHN CoE Labs),30 Days,"Online + Offline (Blended) — 1 week online, 3 Weeks offline lab","₹5,999",Exclusive 30 seats,,,,NIT Delhi Internship Certificate + PHN Technology Letter of Recommendation (LOR),Coming soon
INT-SI-IITJ,Summer Internship,AI & Robotics Mastery Program – IIT Jammu Edition,IIT Jammu,Online + Offline (PHN CoE Labs),30 Days,"Online + Offline (Blended) — 1 week online, 3 Weeks offline lab","₹5,999",Exclusive 30 seats,,,,IIT Jammu Internship Certificate + PHN Technology Letter of Recommendation (LOR),Coming soon
INT-SI-NITW,Summer Internship,AI & Robotics Mastery Program – NIT Warangal Edition,NIT Warangal,Online + Offline (PHN CoE Labs),30 Days,"Online + Offline (Blended) — 1 week online, 3 Weeks offline lab","₹5,999",Exclusive 30 seats,,,,NIT Warangal Internship Certificate + PHN Technology Letter of Recommendation (LOR),Coming soon
INT-SI-IIITB,Summer Internship,AI & Robotics Mastery Program – IIIT Bhopal Edition,IIIT Bhopal,Online + Offline (PHN CoE Labs),30 Days,"Online + Offline (Blended) — 1 week online, 3 Weeks offline lab","₹5,999",Exclusive 30 seats,,,,IIIT Bhopal Internship Certificate + PHN Technology Letter of Recommendation (LOR),Coming soon
WS-BH-NITW,Workshop,Hands-On Bionic Hand Workshop – NIT Warangal,NIT Warangal,NIT Warangal Campus,"3 Day — 27, 28, 29th March 2026",Offline,₹2499,Exclusive 30 seats,Students and tech enthusiasts,,,Industry-validated certificate (IIT/NIT collaboration),https://phntechnology.com/programs/workshop/bionichand-NIT-Warangal/
WS-BH-IITP,Workshop,Hands-On Bionic Hand Workshop – IIT Patna,IIT Patna,IIT Patna Campus,"3 Day — 27, 28, 29th March 2026",Offline,₹2499,Exclusive 30 seats,Students and tech enthusiasts,,,Industry-validated certificate (IIT/NIT collaboration),https://phntechnology.com/programs/workshop/bionichand-IIT-Patna/
WS-AIML-IIITB,Workshop,AI & ML Mastery Program -- IIIT Bhopal ,IIIT Bhopal,IIIT Bhopal Campus,"3 Day — 27, 28, 29th March 2026",Offline,₹499,Exclusive 100 Seats,,,,Industry-validated certificate (IIT/NIT collaboration),https://phntechnology.com/programs/workshop/online-aiml-28march/
WS-AIML-ON,Summer Internship,UI/UX Summer Internship Program,PHN Technology,Online (Live),May 1st,Online,4000+ GST,Not specified,"12th grade students + college 
students (any branch), 
beginners with zero experience","User Research, Personas, User Flows, Wireframing, Design Systems, Visual UI Design, High-Fidelity Prototyping, Micro-interactions, Responsive Design, Case Study & Portfolio Building",1. Mindful Tracker: Minimalist Financial Wellness Platform,PHN Technology,Coming soon
WS-AIML-ON,Summer Internship,EV & MATLAB,PHN Technology,Online (Live),May 1st,Online,4000+ GST,Not specified,"EE, ECE, MECH engineering students","Simulink model development, System-level vehicle simulation, Control logic design ,Energy flow analysis",1. Hybrid Electric Vehicle (PHEV) Energy Management System.,PHN Technology,Coming soon
WS-AIML-ON,Summer Internship,Artificial Intelligence with ML,PHN Technology,Online (Live),May 1st,Online,4000+ GST,Not specified,anyone with intermidiate python knowledge,"Python Programming for AI,Data Analysis (NumPy, Pandas),Data Visualization (Matplotlib, Seaborn),Machine Learning Fundamentals , Regression & Classification Models ,Model Evaluation & Optimization,Decision Trees, Random Forest, KNN,Introduction to Deep Learning (Neural Networks),Computer Vision Basics (Image Processing),OpenCV for Real-time Detection,Model Deployment using Streamlit ,GitHub Portfolio Building,AI Project Documentation & Presentation",Smart Parking Space Analyzer (AI-Based Detection System),PHN Technology,Coming soon
WS-AIML-ON,Summer Internship,Business Analyst Master Program,PHN Technology,Online (Live),May 1st,Online,4000+ GST,Not specified,"MCA / MBA / BBA / BCA, Engineering students, graduates, and working professionals transitioning to BA/Data roles","Excel analytics, SQL, Power BI, requirement gathering, dashboarding, and stakeholder reporting","Retail & E-Commerce Business Performance Analytics System ,one- capstone project",PHN Technology,Coming soon